learning epoch:  1 ...
preds:  ['Expansion.Instantiation.', 'Temporal.Asynchronous', 'Contingency.Condition', 'Temporal.Asynchronous', 'Repetition', 'Temporal. Asynchronous', 'Comparison.Contrast', 'Contusionance.Construction.Construction.Construction.Construction.Construction.', 'Contingency.', 'Contingency.', 'Repetition', 'Repetition is a repetition for a remittance.', 'Comparison.', 'Comparison.', 'Contingency.', 'Comparison.Contribution']  | target:  ['Expansion.Instantiation', 'Temporal.Asynchronous', 'Contingency.Condition', 'Temporal.Asynchronous', 'Repetition', 'Temporal.Asynchronous', 'Comparison.Contrast', 'Contingency.Condition', 'Contingency.Cause', 'Contingency.Condition', 'Repetition', 'Repetition', 'Comparison.Concession', 'Comparison.Concession', 'Contingency.Condition', 'Comparison.Concession']
preds:  ['           ', 'Repetition is a series of episodes based on a series of episodes aired in the United States', 'а          ', 'Expansion.Restatement', 'Temporal.Asynchronous', 'Containing.Go', 'Expansion.', 'Expansion.Restatement', 'Contency.Cause', 'Contingency.Cause', 'Interrupted', 'Comparison.Condition', 'Contingency.Condition Contingency.Condition.', 'Expansion.Conjunction', 'Comparison.Concession.com.Concession.Concession.Concession.Concession.Concession.Concession', 'Contingency.Cause']  | target:  ['Comparison.Concession', 'Repetition', 'Temporal.Asynchronous', 'Expansion.Restatement', 'Temporal.Asynchronous', 'Contingency.Goal', 'Expansion.Restatement', 'Expansion.Restatement', 'Contingency.Cause', 'Contingency.Cause', 'Interrupted', 'Comparison.Concession', 'Contingency.Condition', 'Expansion.Conjunction', 'Comparison.Concession', 'Contingency.Cause']
preds:  ['Expansion.Conjunction.', 'Temporal.Asynchronous', 'Contingency.Goal', 'Repetition', 'Temporal.Acry.', 'Temporal. Synchrony', 'Comparison. Comparison.', 'Expansion. Expansion.Conjunction.', 'comparison.concessions.concessions.concessions.concessions.con', 'Expansion.Instantiation', 'Repetition', 'Expansion.Restatement', 'if you are unsure of what to do or what to do or what to do or what to do.', 'Comparison.', 'Expansion.Restatement', 'Temporal.Asynchronous']  | target:  ['Expansion.Conjunction', 'Temporal.Asynchronous', 'Contingency.Goal', 'Repetition', 'Temporal.Asynchronous', 'Temporal.Synchrony', 'Comparison.Contrast', 'Expansion.Conjunction', 'Comparison.Concession', 'Expansion.Instantiation', 'Repetition', 'Expansion.Restatement', 'Contingency.Goal', 'Comparison.Contrast', 'Expansion.Restatement', 'Temporal.Asynchronous']
preds:  ['Contingency.Cause', 'Contingency. Cause', 'Temporal. Asynchronous', 'Expansion.Instantiation.', 'Temporal. Asynchronous', 'Expansion.Conjunction.', 'Expansion.Construction.Construction.Construction.Construction.Construction.', 'Temporal. Synchrony', 'Contingency.Cause', 'Expansion. Conjunction', 'Competition is a competition that is contested by a judge or a judge. The judge decides that ', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Goal', 'Temporal.Asynchronous.', '           ']  | target:  ['Contingency.Cause', 'Contingency.Cause', 'Temporal.Asynchronous', 'Expansion.Instantiation', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Temporal.Synchrony', 'Contingency.Cause', 'Expansion.Conjunction', 'Repetition', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Goal', 'Temporal.Asynchronous', 'Contingency.Condition']
preds:  ['Contingency.', 'Contourency.', 'Consumers are liable to be liable to be liable to be liable to be liable to be ', '           ', 'Expansion.', 'a person is not able to be adolated to adolescence.', 'Contingency.', 'Against the remittance, the remittance and the remittance of the', 'Temporal.Assembly', 'Expansion.Conjunction', 'Contingency. Contingency.', 'Expansion. Restatement', '           ', 'Contingency.', 'Temporal.Asynchronous.', 'Comparison. Comparison.Conditioning.Conditioning.Conditioning.Conditioning.Conditioning.']  | target:  ['Contingency.Goal', 'Contingency.Cause', 'Comparison.Concession', 'Comparison.Contrast', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Cause', 'Repetition', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Contingency.Condition', 'Expansion.Restatement', 'Contingency.Goal', 'Contingency.Goal', 'Temporal.Asynchronous', 'Comparison.Concession']
preds:  ['Contingency.Cause', 'Expiriation.Conjunction', 'Contingency.Condition', 'Temporal.Asynchronous.', 'Contingency.Condition.', 'Comparison. Comparison.', 'Contingency.Cause.', 'Contingency.Cause.', 'Both are a common occurrence in the United States of the United States and the United States of the United States.', 'Expansion.Restatement', 'comparison.com - comparison.com - comparison.com - comparison.com - comparison.com ', 'Comparison.Concession', 'Expansion.Instantiation', 'Contingency.Condition. Contingency.Condition.', 'Answer: Repetition', 'Expansion.Restatement']  | target:  ['Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Condition', 'Temporal.Asynchronous', 'Contingency.Condition', 'Comparison.Concession', 'Contingency.Cause', 'Contingency.Cause', 'Comparison.Concession', 'Expansion.Restatement', 'Comparison.Concession', 'Comparison.Concession', 'Expansion.Instantiation', 'Contingency.Condition', 'Repetition', 'Expansion.Restatement']
preds:  ['Contingency.', 'Containing.Case.', 'Expansion.', 'Ex-expansion.Alternative', '............', 'Contingency.Goal.', 'Contingency.Cause', 'Expansion. Conjunction', 'Contingency.', 'Temporal. Asynchronous', 'Temporal.', 'Comparison.Conversation.Consideration.Consideration.Consideration.Consideration.Conside', 'Expansion.', '           ', 'Contanta. Contingency. Contingency.Construction. Contingency.Construction.', 'Temporal.Asynchronous.']  | target:  ['Contingency.Cause', 'Contingency.Cause', 'Expansion.Restatement', 'Expansion.Alternative', 'Contingency.Cause', 'Contingency.Goal', 'Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Cause', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Comparison.Concession', 'Expansion.Restatement', 'Comparison.Concession', 'Contingency.Condition', 'Temporal.Asynchronous']
preds:  ['Expansion.Conditionation.', 'Contingency.', 'Temporal.Asynchronous', 'Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Condition', 'Temporal.Asynchronous.', 'Expansion.', 'Contents are subjected to approval by the organisers of the event.', 'Comparison.', 'Expansion. Alternative', 'Contingency.Goal', 'Temporal.Synchrony', 'Contingency.', 'Recipients: Recipients: Recipients: Recipients: Recipients', '............']  | target:  ['Expansion.Conjunction', 'Contingency.Cause', 'Temporal.Asynchronous', 'Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Condition', 'Temporal.Asynchronous', 'Expansion.Restatement', 'Contingency.Condition', 'Comparison.Concession', 'Expansion.Alternative', 'Contingency.Goal', 'Temporal.Synchrony', 'Contingency.Cause', 'Repetition', 'Contingency.Cause']
preds:  ['Expansion.Conjunction', 'Temporal.Asynchronous', 'Contingency.Cause', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Expansion.Alternative.', 'Expansion.Conjunction Expansion.', 'Expansion.Restatement', 'Temporal.', 'Expansion.Conjunction', 'Repetition']  | target:  ['Expansion.Conjunction', 'Temporal.Asynchronous', 'Contingency.Cause', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Expansion.Alternative', 'Expansion.Conjunction', 'Expansion.Restatement', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Repetition']
preds:  ['Expansion.Conjunction', 'Contingency.Cause', 'Temporal.Asynchronous', 'Contingency.Cause', 'Comparison.Concession', 'Contingency.Cause', 'Expansion.Restatement', 'Expansion.Restatement', 'Comparison.', 'Contingency.Cause', 'Expansion.Restatement', 'Comparison.Concession', 'Comparison.Concession', 'Comparison.Concession', 'Contingency.Cause', 'Expansion.Restatement']  | target:  ['Expansion.Conjunction', 'Contingency.Cause', 'Temporal.Asynchronous', 'Contingency.Cause', 'Comparison.Concession', 'Contingency.Cause', 'Expansion.Restatement', 'Expansion.Restatement', 'Comparison.Contrast', 'Contingency.Cause', 'Expansion.Restatement', 'Comparison.Concession', 'Comparison.Concession', 'Comparison.Concession', 'Contingency.Cause', 'Expansion.Restatement']
preds:  ['Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Goal', 'Expansion.Conjunction', 'Comparison.Concession', 'Contingency.Cause', 'Contingency.Cause', 'Expansion.Restatement', 'Contingency.Cause', 'Interrupted', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Cause', 'Temporal.Synchrony', 'Comparison.Concession', 'Contingency.Goal']  | target:  ['Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Goal', 'Expansion.Conjunction', 'Comparison.Concession', 'Contingency.Cause', 'Contingency.Cause', 'Expansion.Restatement', 'Contingency.Cause', 'Interrupted', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Cause', 'Temporal.Synchrony', 'Comparison.Concession', 'Contingency.Goal']
preds:  ['Contingency.Cause', 'Contingency.Condition', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Cause', 'Temporal.Asynchronous', 'Comparison.', 'Comparison.Concession', 'Expansion.Conjunction', 'Contingency.Cause', 'Expansion.Restatement', 'Contingency.Cause', 'Comparison.', 'Contingency.Cause', 'Contingency.Cause', 'Repetition']  | target:  ['Contingency.Cause', 'Contingency.Condition', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Cause', 'Temporal.Asynchronous', 'Comparison.Contrast', 'Comparison.Concession', 'Expansion.Conjunction', 'Contingency.Cause', 'Expansion.Restatement', 'Contingency.Cause', 'Comparison.Contrast', 'Contingency.Cause', 'Contingency.Cause', 'Repetition']
preds:  ['Expansion.Instantiation', 'Contingency.Cause', 'Expansion.Restatement', 'Repetition', 'Contingency.Cause', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Contingency.Cause', 'Contingency.Condition', 'Expansion.Restatement', 'Contingency.Cause', 'Comparison.Concession', 'Contingency.Cause', 'Expansion.Restatement', 'Expansion.Conjunction', 'Expansion.Restatement']  | target:  ['Expansion.Instantiation', 'Contingency.Cause', 'Expansion.Restatement', 'Repetition', 'Contingency.Cause', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Contingency.Cause', 'Contingency.Condition', 'Expansion.Restatement', 'Contingency.Cause', 'Comparison.Concession', 'Contingency.Cause', 'Expansion.Restatement', 'Expansion.Conjunction', 'Expansion.Restatement']
preds:  ['Comparison.Concession', 'Repetition', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Expansion.Restatement', 'Temporal.Synchrony', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Condition', 'Repetition', 'Temporal.Asynchronous', 'Interrupted', 'Temporal.Synchrony', 'Comparison.Concession', 'Temporal.Asynchronous']  | target:  ['Comparison.Concession', 'Repetition', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Expansion.Restatement', 'Temporal.Synchrony', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Condition', 'Repetition', 'Temporal.Asynchronous', 'Interrupted', 'Temporal.Synchrony', 'Comparison.Concession', 'Temporal.Asynchronous']
preds:  ['Contingency.Cause', 'Expansion.Alternative', 'Expansion.Conjunction', 'Comparison.Concession', 'Contingency.Cause', 'Contingency.Cause', 'Expansion.Restatement', 'Comparison.', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Cause', 'Repetition', 'Comparison.', 'Expansion.Conjunction', 'Expansion.Restatement', 'Expansion.Restatement']  | target:  ['Contingency.Cause', 'Expansion.Alternative', 'Expansion.Conjunction', 'Comparison.Concession', 'Contingency.Cause', 'Contingency.Cause', 'Expansion.Restatement', 'Comparison.Contrast', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Cause', 'Repetition', 'Comparison.Contrast', 'Expansion.Conjunction', 'Expansion.Restatement', 'Expansion.Restatement']
preds:  ['Contingency.Condition', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Cause', 'Comparison.Concession', 'Repetition', 'Comparison.Concession', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Condition', 'Repetition', 'Contingency.Cause', 'Comparison.', 'Expansion.Restatement', 'Repetition']  | target:  ['Contingency.Condition', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Cause', 'Comparison.Concession', 'Repetition', 'Comparison.Concession', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Condition', 'Repetition', 'Contingency.Cause', 'Comparison.Contrast', 'Expansion.Restatement', 'Repetition']
preds:  ['Comparison.', 'Contingency.Condition', 'Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Goal', 'Contingency.Cause', 'Contingency.Cause', 'Comparison.Concession', 'Expansion.Restatement', 'Contingency.Condition', 'Contingency.Cause', 'Expansion.Restatement', 'Contingency.Condition', 'Comparison.', 'Contingency.Cause', 'Comparison.Concession']  | target:  ['Comparison.Contrast', 'Contingency.Condition', 'Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Goal', 'Contingency.Cause', 'Contingency.Cause', 'Comparison.Concession', 'Expansion.Restatement', 'Contingency.Condition', 'Contingency.Cause', 'Expansion.Restatement', 'Contingency.Condition', 'Comparison.Contrast', 'Contingency.Cause', 'Comparison.Concession']
preds:  ['Comparison.', 'Contingency.Condition', 'Temporal.Synchrony', 'Repetition', 'Contingency.Goal', 'Contingency.Cause', 'Temporal.Synchrony', 'Temporal.Synchrony', 'Repetition', 'Temporal.Asynchronous', 'Temporal.Synchrony', 'Comparison.', 'Repetition', 'Comparison.', 'Contingency.Condition', 'Expansion.Conjunction']  | target:  ['Comparison.Contrast', 'Contingency.Condition', 'Temporal.Synchrony', 'Repetition', 'Contingency.Goal', 'Contingency.Cause', 'Temporal.Synchrony', 'Temporal.Synchrony', 'Repetition', 'Temporal.Asynchronous', 'Temporal.Synchrony', 'Comparison.Contrast', 'Repetition', 'Comparison.Contrast', 'Contingency.Condition', 'Expansion.Conjunction']
preds:  ['Contingency.Condition', 'Comparison.Concession', 'Contingency.Condition', 'Temporal.Asynchronous', 'Repetition', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Expansion.Alternative', 'Contingency.Cause', 'Comparison.Concession', 'Contingency.Cause', 'Contingency.Cause', 'Temporal.Asynchronous', 'Comparison.Concession', 'Comparison.Concession', 'Repetition']  | target:  ['Contingency.Condition', 'Comparison.Concession', 'Contingency.Condition', 'Temporal.Asynchronous', 'Repetition', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Expansion.Alternative', 'Contingency.Cause', 'Comparison.Concession', 'Contingency.Cause', 'Contingency.Cause', 'Temporal.Asynchronous', 'Comparison.Concession', 'Comparison.Concession', 'Repetition']
preds:  ['Repetition', 'Contingency.Cause', 'Temporal.Asynchronous', 'Repetition', 'Repetition', 'Expansion.Conjunction', 'Contingency.Goal', 'Contingency.Cause', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Repetition', 'Expansion.Alternative', 'Contingency.Cause', 'Temporal.Asynchronous', 'Comparison.Concession']  | target:  ['Repetition', 'Contingency.Cause', 'Temporal.Asynchronous', 'Repetition', 'Repetition', 'Expansion.Conjunction', 'Contingency.Goal', 'Contingency.Cause', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Repetition', 'Expansion.Alternative', 'Contingency.Cause', 'Temporal.Asynchronous', 'Comparison.Concession']
preds:  ['Contingency.Cause', 'Comparison.Concession', 'Contingency.Cause', 'Comparison.Concession', 'Comparison.Concession', 'Expansion.Restatement', 'Expansion.Restatement', 'Comparison.Concession', 'Expansion.Conjunction', 'Contingency.Cause', 'Repetition', 'Contingency.Condition', 'Expansion.Restatement', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Contingency.Goal']  | target:  ['Contingency.Cause', 'Comparison.Concession', 'Contingency.Cause', 'Comparison.Concession', 'Comparison.Concession', 'Expansion.Restatement', 'Expansion.Restatement', 'Comparison.Concession', 'Expansion.Conjunction', 'Contingency.Cause', 'Repetition', 'Contingency.Condition', 'Expansion.Restatement', 'Expansion.Conjunction', 'Expansion.Conjunction', 'Contingency.Goal']
preds:  ['Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Condition', 'Expansion.Alternative', 'Expansion.Conjunction', 'Expansion.Restatement', 'Temporal.Synchrony', 'Temporal.Asynchronous', 'Contingency.Cause', 'Contingency.Cause', 'Comparison.Concession', 'Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Cause', 'Expansion.Conjunction']  | target:  ['Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Condition', 'Expansion.Alternative', 'Expansion.Conjunction', 'Expansion.Restatement', 'Temporal.Synchrony', 'Temporal.Asynchronous', 'Contingency.Cause', 'Contingency.Cause', 'Comparison.Concession', 'Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Cause', 'Expansion.Conjunction']
preds:  ['Repetition']  | target:  ['Repetition']
val_loss: 20.8077 val_acc: 0.9509 mismatch: 13152 complete_mismatch: 0
Epoch 2: train_loss: 24.3832 train_acc: 0.3611 | val_loss: 20.8077 val_acc: 0.9509
00:00:54.50
learning epoch:  3 ...
preds:  ['Contingency.Goal', 'Expansion.Restatement', 'Temporal.Astrial.Astrial.', 'Expansion.Conjunction', 'Contingency.', 'Comparison.', 'Contingency.Cause.', 'Comparison.Contribution.Contribution.Contribution.Conference.Condition.Contribution.', 'Expansion.', 'Expansion.Restatement', 'Temporal.Synchrony', 'Contingency.', 'Expansion.', '           ', 'Temporal.Asc', 'Contingency.Conditions.Conditions. Contingency.Conditions.Conditions.']  | target:  ['Contingency.Goal', 'Expansion.Restatement', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Contingency.Goal', 'Comparison.Concession', 'Contingency.Cause', 'Comparison.Concession', 'Expansion.Alternative', 'Expansion.Restatement', 'Temporal.Synchrony', 'Contingency.Goal', 'Expansion.Conjunction', 'Repetition', 'Temporal.Asynchronous', 'Contingency.Condition']
preds:  ['Contingency.Goal', 'Interrupted', 'Contingency.', 'Expansion.Conjunction', 'Temporal.Asynchronous.', 'Temporal.Asynchronous', 'Contingency.', 'Contingency.Cause.', 'Temporal.', 'Contingency.Cause', 'Comparison.Consider.Consume.Consumer.Consumer.Con', 'Repetition: repetition:        ', 'Contingency.Cause', 'i.e. a remorse i.e. remorse i', 'Expansion.', 'Contingency.Cazade.Cazade.Cazade.Cazade.Cazade.']  | target:  ['Contingency.Goal', 'Interrupted', 'Contingency.Goal', 'Expansion.Conjunction', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Contingency.Goal', 'Contingency.Cause', 'Temporal.Asynchronous', 'Contingency.Cause', 'Comparison.Concession', 'Repetition', 'Contingency.Cause', 'Repetition', 'Expansion.Conjunction', 'Contingency.Cause']
preds:  ['Expansion.Conjunction', 'Contingency.Cause', 'A comparison.Conversation.Conversation.Conversation.Conversation.Conversation.Con', 'Expansion.Resale', 'comparisonsConventions - wikipedia, wikipedia, org, wikipedia, org, wikipedia', 'Interrupted', 'Temporal. Synchrony', 'Confederation is a federation of the United States of the United States of the United States of America.', '           ', 'Contingency.Cause', 'Temporal.Asynchronous.', 'Comparison.', 'Comparison.Concession.', 'comparison.Concession', 'Contingency.Cause', '           ']  | target:  ['Expansion.Conjunction', 'Contingency.Cause', 'Comparison.Concession', 'Expansion.Restatement', 'Comparison.Concession', 'Interrupted', 'Temporal.Synchrony', 'Comparison.Concession', 'Contingency.Cause', 'Contingency.Cause', 'Temporal.Asynchronous', 'Comparison.Concession', 'Comparison.Concession', 'Comparison.Concession', 'Contingency.Cause', 'Comparison.Concession']
preds:  ['Contingency.', 'Comparison. Comparison. Comparison. Comparison. Comparison. Comparison. Comparison. Comparison. Comparison. Comparison. Comparison. Comparison.', 'Interrupted', 'Expansion. Conjunction.', 'Contingus. Contingency. Contingency. Contingency. Contingency. Contingency.', '           ', 'Expansion.Conjunction.', 'Consistency.Conditioning.Conditioning.Conditional.Conditional.Condition.', 'Temporary.Asassassassassassass', '.Asynchronous', 'Temporal.Asynchronous', 'Expansion.Restatement', 'Contingency.Cause', 'Temporal.Asynchronous', 'Temporal.Asci', 'Temporal.Asynchronous']  | target:  ['Contingency.Cause', 'Comparison.Contrast', 'Interrupted', 'Expansion.Conjunction', 'Contingency.Condition', 'Comparison.Concession', 'Expansion.Conjunction', 'Contingency.Condition', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Expansion.Restatement', 'Contingency.Cause', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Temporal.Asynchronous']
preds:  ['Repetition – Repetition – Repetition – Repetition – Repetition ', 'Temporal.Asynchronous', 'Comparison.', 'Temporal.Asynchronous', 'Comparison.Concession.', 'Recommendation.Contributary.Contribution.Contribution.Contribution.', 'Repetition', 'Expansion.Conjunction', 'Comparison. Concession. Comparison. Comparison. Concession. Concession. Comparison. Concession. Comparison. Concession', 'Expansion.Restatement', 'Repetition', 'The repetition is a rematch of the Finals.', 'Expansion.Restatement', 'Contaminency.Cause', 'Continantency.', 'Constructed in a recommendation.Constructed in a recom']  | target:  ['Repetition', 'Temporal.Asynchronous', 'Comparison.Concession', 'Temporal.Asynchronous', 'Comparison.Concession', 'Comparison.Concession', 'Repetition', 'Expansion.Conjunction', 'Comparison.Concession', 'Expansion.Restatement', 'Repetition', 'Repetition', 'Expansion.Restatement', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Condition']
preds:  ['Comparison.Consection.Conssion.Consection.Consection.Conse', 'Contingency. Cause', 'Comparison.Concession', 'Contingency.Cause', 'Temporal.Synchrony', '           ', 'Temporal. Asynchronous.', 'Coverage. Coverage. Coverage. Coverage. Coverage. Coverage.', 'Contradiction. Comparison. Contradiction. Contradiction. Comparison. Comparison. Contradiction. Comparison. Contradiction.', 'Goblet is a sluggish sluggish sluggish sl', '           ', 'Comparison.Concession. Comparison.Concession. Comparison.Concession. Concession. Comparison.Concession. Con', 'Expansion.Conjunction', 'Contingency.Cause', 'Expansion.Conjunction', 'Temporal.Asynchronous']  | target:  ['Comparison.Concession', 'Contingency.Cause', 'Comparison.Concession', 'Contingency.Cause', 'Temporal.Synchrony', 'Comparison.Contrast', 'Temporal.Asynchronous', 'Contingency.Cause', 'Comparison.Contrast', 'Contingency.Goal', 'Contingency.Cause', 'Comparison.Concession', 'Expansion.Conjunction', 'Contingency.Cause', 'Expansion.Conjunction', 'Temporal.Asynchronous']
preds:  ['Contingency. Goal', 'Expansion.Conjunction.', 'Contingency.Goal', 'Temporal.Asynchronous.', 'Comparison.Contribution', '           ', 'Contingency.', 'Contaency.Cause', 'Contingency.Condition.', 'Comparison.', 'Contingency.', 'Temporal.Asynchronous.', 'Temporal.Asynchronous', 'Comparison.', 'Temporal. Asynchronous', 'Expansion.Restatement.Restatement.']  | target:  ['Contingency.Goal', 'Expansion.Conjunction', 'Contingency.Goal', 'Temporal.Asynchronous', 'Comparison.Concession', 'Repetition', 'Contingency.Cause', 'Contingency.Cause', 'Contingency.Condition', 'Comparison.Concession', 'Contingency.Cause', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Comparison.Contrast', 'Temporal.Asynchronous', 'Expansion.Restatement']
preds:  ['Contour.Cause', 'Temporal.Atrial.Atrial.', 'Contingency.', 'Contingency.Condition.', 'Contingency.', 'Temporal.Asynchronous.', 'Temporal.Atrial.Astrial.Atrial.Astrial.Ast', 'Expansion.Alternative', 'Expansion.Reportation', 'Comparison.', 'Expansion.Restorement', 'Comparison.', 'Repetition', 'Contingency.', 'Expansion.Restatement', 'Consent.Caution.Cause.']  | target:  ['Contingency.Cause', 'Temporal.Asynchronous', 'Contingency.Condition', 'Contingency.Condition', 'Contingency.Cause', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Expansion.Alternative', 'Expansion.Restatement', 'Comparison.Contrast', 'Expansion.Restatement', 'Comparison.Concession', 'Repetition', 'Contingency.Cause', 'Expansion.Restatement', 'Contingency.Cause']
preds:  ['Contingency.', 'Comparison.Concession', 'Expansion.Conjunction', 'Expansion.Alternative', 'Temporal.', 'Temporal.Attributional.Attributional.Attributional.Attribu', 'Reflections', 'Expansion.Construction.', 'а а а а а     ', 'Expansion.Instantiation', 'Contingency.Cause', 'Contingence.Cause', 'Interrupted', 'Contingency. Contuency.Convention.Convention. Contingency.Convention.Convention.', 'temporal.Astrial.Astular.Astrial.Astrial.', 'Contingency. Contingency.Goal']  | target:  ['Contingency.Cause', 'Comparison.Concession', 'Expansion.Conjunction', 'Expansion.Alternative', 'Temporal.Asynchronous', 'Temporal.Asynchronous', 'Repetition', 'Expansion.Conjunction', 'Contingency.Cause', 'Expansion.Instantiation', 'Contingency.Cause', 'Contingency.Cause', 'Interrupted', 'Contingency.Condition', 'Temporal.Asynchronous', 'Contingency.Goal']
preds:  ['Contingency.', 'Contingency.Condition', 'Comparison. Comparison. Comparison. Comparison. Comparison. Comparison. Comparison. Comparison.', 'Expansion.', 'Expansion.Restatement', 'Comparison.Contrast.Contrast.', 'Contingency.Goal', 'Temporal.Asynchronous.', 'Comparison.', 'Expansion.Construction.Construction.', 'Contingency.Cause', 'Contingency.Condition', 'Contingency.Cause', 'Expansion.Conjunction. Expansion.Conjunction.Expansion.Conjunction.', 'Contingency.Cause', 'Temporal.Asial.Asynchronous']  | target:  ['Contingency.Cause', 'Contingency.Condition', 'Comparison.Concession', 'Expansion.Restatement', 'Expansion.Restatement', 'Comparison.Contrast', 'Contingency.Goal', 'Temporal.Asynchronous', 'Comparison.Concession', 'Expansion.Conjunction', 'Contingency.Cause', 'Contingency.Condition', 'Contingency.Cause', 'Expansion.Conjunction', 'Contingency.Cause', 'Temporal.Asynchronous']
preds:  ['What is a response to a resounding resounding resounding resounding', 'Contingency.Cause.', 'Contingency.', 'Expansion.Conjunction', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Expansion.', 'Contingency.Contraction.Condition.Constance.Condition.Condition.Condition.Condition', 'Comparison.Conference.Consider.Consider.Consider.Consider.Consider', 'Contingency.Goal', 'Comparison.', 'Contingency.Goal', 'Amendment to the Treaties of the United States', 'Contingency.Cause', 'Interrupted', 'Comparison.Consummation.Consummation.Consummation.Consummation.Consum']  | target:  ['Repetition', 'Contingency.Cause', 'Contingency.Cause', 'Expansion.Conjunction', 'Temporal.Asynchronous', 'Expansion.Conjunction', 'Expansion.Restatement', 'Contingency.Condition', 'Comparison.Concession', 'Contingency.Goal', 'Comparison.Contrast', 'Contingency.Goal', 'Repetition', 'Contingency.Cause', 'Interrupted', 'Comparison.Concession']
preds:  ['Comparison.Convention.Convention.Convention. Comparison.Convention.Convention.Convention.Convention', 'Expanding.Restatement', 'Expansion.', 'Repetition', 'Comparison:Concession', 'Comparison. Comparison.', 'Repetition', 'Expansion.Conjunction', 'Repetition is a response to the re-election of a party. It is based on', 'Expansions.Conjunctions.Expansions.Conjunctions.Expansions', 'Comparison.', 'Contingency.', '           ', 'Expansion.Restatement', 'Expansion.Restatement', 'Temporal.Asynchronous']  | target:  ['Comparison.Concession', 'Expansion.Restatement', 'Expansion.Alternative', 'Repetition', 'Comparison.Concession', 'Comparison.Concession', 'Repetition', 'Expansion.Conjunction', 'Repetition', 'Expansion.Conjunction', 'Comparison.Contrast', 'Contingency.Condition', 'Contingency.Condition', 'Expansion.Restatement', 'Expansion.Restatement', 'Temporal.Asynchronous']
