learning epoch:  1 ...
preds:  ['e', 'e', 'progression of', '-', 'joint ', 'enablement', 'e', 'e', 'enablement', 'is ', 'e', 'joint venture', 'e', 'b', 'b', 'e']  | target:  ['elab-addition', 'elab-addition', 'progression', 'manner-means', 'joint', 'enablement', 'elab-addition', 'elab-addition', 'enablement', 'attribution', 'elab-addition', 'joint', 'elab-addition', 'bg-general', 'bg-general', 'elab-addition']
preds:  ['e', 'enablement', 'e', 'e', 'joint ', 'e', 'enablement', 'e', 'e', 'enablement', 'b', 'e', 'e', 'e', 'b', 'b']  | target:  ['elab-addition', 'enablement', 'elab-aspect', 'elab-aspect', 'joint', 'elab-aspect', 'enablement', 'elab-addition', 'elab-aspect', 'enablement', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'bg-general', 'bg-general']
preds:  ['b', 'joint ', 'b', 'e', 'e', 'e', 'e', 'e', 'manner-', 'enablement', 'e', 'progression of', 'evaluation', 'e', 'joint ', 'b']  | target:  ['bg-general', 'joint', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'manner-means', 'enablement', 'elab-addition', 'progression', 'evaluation', 'elab-addition', 'joint', 'bg-general']
preds:  ['progression of', 'e', 'joint ', 'enablement', 'b', 'e', 'e', 'enablement', 'joint ', 'enablement', 'joint ', 'enablement', 'attribution', 'temporal', 'evaluation', 'joint ']  | target:  ['progression', 'elab-addition', 'joint', 'enablement', 'bg-general', 'elab-addition', 'elab-addition', 'enablement', 'joint', 'enablement', 'joint', 'enablement', 'attribution', 'temporal', 'evaluation', 'joint']
preds:  ['e', 'b', 'b', 'e', 'e', 'progression of', 'e', 'e', 'e', 'joint ', 'a', 'e', 'enablement', 'enablement', 'enablement', 'enablement']  | target:  ['elab-addition', 'bg-general', 'bg-general', 'elab-addition', 'elab-addition', 'progression', 'elab-addition', 'elab-addition', 'elab-addition', 'joint', 'cause', 'elab-addition', 'enablement', 'enablement', 'enablement', 'enablement']
preds:  ['joint ', 'attribution', 'evaluation', 'b', 'e', 'e', 'b', 'e', 'b', 'joint ', 'e', 'attribution', 'evaluation', 'temporal', 'comparison of', 'e']  | target:  ['joint', 'attribution', 'evaluation', 'bg-general', 'elab-addition', 'elab-addition', 'bg-general', 'elab-addition', 'bg-general', 'joint', 'elab-addition', 'attribution', 'evaluation', 'temporal', 'comparison', 'elab-addition']
preds:  ['b', 'e', 'e', 'e', 'e', 'joint ', 'joint ', 'joint ', 'e', 'enablement', 'e', 'attribution', 'manner-', 'evaluation', 'b', 'e']  | target:  ['bg-goal', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-process_step', 'joint', 'joint', 'joint', 'elab-addition', 'enablement', 'elab-addition', 'attribution', 'manner-means', 'evaluation', 'bg-general', 'elab-addition']
preds:  ['e', 'e', 'manner-', 'e', 'attribution', 'e', 'joint ', 'joint ', 'attribution', 'joint ', 'e', 'joint ', 'b', 'e', 'enablement', 'joint ']  | target:  ['elab-addition', 'elab-addition', 'manner-means', 'elab-enumember', 'attribution', 'elab-addition', 'joint', 'joint', 'attribution', 'joint', 'elab-addition', 'joint', 'bg-general', 'elab-aspect', 'enablement', 'joint']
preds:  ['e', 'e', 'b', 'e', 'exp-', 'e', 'e', 'evaluation', 'b', 'result:', 'e', 'joint ', 'joint ', 'enablement', 'attribution', 'evaluation']  | target:  ['elab-addition', 'elab-addition', 'bg-general', 'elab-aspect', 'exp-reason', 'elab-aspect', 'elab-addition', 'evaluation', 'bg-goal', 'result', 'elab-addition', 'joint', 'joint', 'enablement', 'attribution', 'evaluation']
preds:  ['temporal', 'e', 'joint ', 'joint ', 'comparison of', 'joint ', 'e', 'e', 'joint ']  | target:  ['temporal', 'elab-enumember', 'joint', 'joint', 'comparison', 'joint', 'elab-addition', 'elab-addition', 'joint']
val_loss: 15.0418 val_acc: 0.2353 mismatch: 134146 complete_mismatch: 2821829
Epoch 6: Best val_acc: 0.2353
Epoch 6: train_loss: 20.2152 train_acc: 0.1409 | val_loss: 15.0418 val_acc: 0.2353
00:00:51.36
learning epoch:  7 ...
preds:  ['e', 'e', 'joint venture', 'e', 'e', 'e', 'enablement', 'manner-', 'e', 'enablement', 'evaluation of', 'joint ', 'results in', 'comparison table', 'enablement', '-']  | target:  ['elab-addition', 'elab-addition', 'joint', 'elab-addition', 'elab-addition', 'elab-addition', 'enablement', 'manner-means', 'elab-addition', 'enablement', 'evaluation', 'joint', 'result', 'comparison', 'enablement', 'manner-means']
preds:  ['a', 'e', 'commonwe', '', 'e', 'e', 'enablement', 'enablement', 'e', 'e', 'e', 'enablement', 'a', 'progression of', 'joint', 'e']  | target:  ['manner-means', 'elab-addition', 'joint', 'joint', 'elab-addition', 'elab-aspect', 'enablement', 'enablement', 'elab-addition', 'elab-process_step', 'elab-enumember', 'enablement', 'evaluation', 'progression', 'joint', 'elab-addition']
preds:  ['GB', 'joints of', 'e', 'a', 'joint ', 'enablement', 'b', 'e', 'b', 'e', 'a', '-', 'e', 'joint ', 'progression of', 'e']  | target:  ['bg-goal', 'joint', 'elab-addition', 'contrast', 'joint', 'enablement', 'bg-goal', 'elab-addition', 'bg-general', 'elab-addition', 'enablement', 'evaluation', 'elab-addition', 'joint', 'progression', 'elab-addition']
preds:  ['is ', 'evaluation of', 'joint joint', 'e', '-', 'e', 'homage', 'e', 'b', 'e', '', 'e', 'b', 'b', 'b', 'contrast to']  | target:  ['attribution', 'evaluation', 'joint', 'elab-addition', 'bg-goal', 'elab-addition', 'attribution', 'elab-addition', 'bg-general', 'elab-addition', 'attribution', 'elab-addition', 'bg-general', 'bg-general', 'bg-general', 'contrast']
preds:  ['e', 'b', 'e', 'attribution', 'evaluation of', 'co-', 'e', 'e', 'b', 'e', 'e', 'e', 'manner-', 'e', 'e', 'enablement']  | target:  ['elab-addition', 'bg-general', 'elab-addition', 'attribution', 'evaluation', 'joint', 'elab-addition', 'elab-addition', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'manner-means', 'elab-addition', 'elab-addition', 'enablement']
preds:  ['joint ', 'e', 'b', '-', 'joint', 'a', 'attribution', 'joint joint', 'joints ', 'enable us', 'joint ', 'e', 'e', 'joint ', 'enablement', 'evaluations']  | target:  ['joint', 'elab-addition', 'bg-general', 'evaluation', 'joint', 'evaluation', 'attribution', 'joint', 'joint', 'enablement', 'joint', 'elab-addition', 'elab-addition', 'joint', 'enablement', 'evaluation']
preds:  ['a', 'e', 'a', 'enablement', 'e', 'to the', ',', 'evaluation', 'b', 'is ', 'a', 'e', 'i', 'e', 'e', 'e']  | target:  ['result', 'elab-addition', 'attribution', 'enablement', 'elab-addition', 'progression', 'result', 'evaluation', 'bg-general', 'attribution', 'exp-reason', 'elab-addition', 'evaluation', 'elab-addition', 'elab-addition', 'elab-addition']
preds:  ['b', 'a', 'e', 'joint ', 'joint ', 'e', 'evaluation of', 'e', 'co-', 'e', 'e', 'a', 'a', 'b', 'e', '']  | target:  ['bg-general', 'attribution', 'elab-addition', 'joint', 'joint', 'elab-addition', 'evaluation', 'elab-addition', 'joint', 'elab-addition', 'elab-addition', 'enablement', 'manner-means', 'bg-general', 'elab-addition', 'joint']
preds:  ['evaluation', 'a', 'b', 'joint', 'evaluation of', 'b', 'e', 'e', 'e', 'creators', 'Joint ', 'joint venture', 'e', 'joint ', 'e', 'joint is']  | target:  ['evaluation', 'joint', 'bg-general', 'joint', 'evaluation', 'bg-general', 'evaluation', 'elab-addition', 'elab-addition', 'attribution', 'joint', 'joint', 'elab-addition', 'joint', 'elab-enumember', 'joint']
preds:  ['joint ', 'evaluation', 'b', 'e', 'evaluation of', 'b', 'e', 'e', 'enablement', 'as ', 'b', 'e', 'enablement', 'enablement', 'joint ', 'e']  | target:  ['joint', 'evaluation', 'bg-general', 'elab-addition', 'evaluation', 'bg-general', 'elab-addition', 'elab-addition', 'enablement', 'result', 'bg-general', 'elab-addition', 'enablement', 'enablement', 'joint', 'elab-addition']
preds:  ['e', 'enablement', 'enablement', 'e', 'progression of', 'b', 'cause of', 'b', 'e', 'joint practice', 'b', 'exp-', 'enablement', 'joint joint', 'e', 'a']  | target:  ['elab-addition', 'enablement', 'enablement', 'elab-addition', 'progression', 'bg-goal', 'cause', 'bg-general', 'elab-addition', 'joint', 'bg-general', 'exp-reason', 'enablement', 'joint', 'elab-addition', 'evaluation']
preds:  ['b', 'e', 'e', 'b', 'enablement', 'Evaluation of', 'y', 'evaluations', 'e', 'e', 'Evaluation of', 'joint ', '-', 'e', 'b', 'enablement']  | target:  ['bg-general', 'elab-addition', 'elab-addition', 'bg-general', 'enablement', 'evaluation', 'joint', 'evaluation', 'elab-addition', 'elab-aspect', 'evaluation', 'joint', 'elab-addition', 'elab-addition', 'bg-general', 'enablement']
preds:  ['e', 'e', 'jointe', 'joint and', 'joint', 'e', 'e', 'joint venture', 'e', 'e', 'b', 'e', 'b', 'e', 'e', 'b']  | target:  ['elab-addition', 'elab-addition', 'joint', 'joint', 'joint', 'elab-addition', 'elab-addition', 'joint', 'elab-addition', 'elab-addition', 'bg-general', 'elab-addition', 'bg-general', 'elab-addition', 'elab-process_step', 'bg-general']
preds:  ['e', 'b', 'e', 'e', 'b', 'enablement', 'is ', 'e', 'enablement', 'e', 'e', 'jointing', 'e', 'Friends of', 'joint ', 'progression:']  | target:  ['elab-process_step', 'bg-general', 'elab-enumember', 'elab-addition', 'bg-general', 'enablement', 'attribution', 'elab-addition', 'enablement', 'elab-addition', 'elab-addition', 'joint', 'elab-addition', 'joint', 'joint', 'progression']
preds:  ['joints', 'contraste', 'enablement', 'joint', 'a', 'e', 'a', 'a', 'joint', 'e', 'joint of', 'b', 'co-', 'e', 'e', 'enablement']  | target:  ['joint', 'contrast', 'enablement', 'joint', 'enablement', 'elab-addition', 'joint', 'manner-means', 'joint', 'elab-addition', 'joint', 'bg-general', 'joint', 'elab-addition', 'elab-addition', 'enablement']
preds:  ['a', 'joint and', 'b', '-', 'temporal', 'joint', 'a', 'Evaluation of', 'joint venture', 'e', '', 'e', 's', 'e', 'joint of', 'e']  | target:  ['contrast', 'joint', 'bg-general', 'manner-means', 'temporal', 'joint', 'attribution', 'evaluation', 'joint', 'elab-addition', 'joint', 'elab-addition', 'joint', 'elab-addition', 'joint', 'elab-addition']
preds:  ['evaluation', 'joint venture', 'enablement', 'b', 'e', 'e', 'a', 'e', 'e', 'evaluation', 'Jointly', 'joint joint', 'joint is', ' The', 'e', 'e']  | target:  ['evaluation', 'joint', 'enablement', 'bg-general', 'elab-addition', 'elab-addition', 'attribution', 'elab-addition', 'elab-addition', 'evaluation', 'joint', 'joint', 'joint', 'joint', 'elab-addition', 'elab-addition']
preds:  ['e', 'e', 'attribution', 'e', 'e', 'e', '', 'evaluation', 'e', 'joint', 'e', 'joint', 'e', 'b', 'e', 'b']  | target:  ['elab-addition', 'elab-addition', 'attribution', 'elab-addition', 'elab-addition', 'elab-addition', 'joint', 'evaluation', 'elab-addition', 'joint', 'elab-addition', 'joint', 'elab-addition', 'bg-goal', 'elab-addition', 'bg-general']
preds:  ['joint venture', 'joint joint', 'e', 'b', 'e', 'e', 'joint joint', 'b', 'joint', '-', 'b', 'b', '-', '-', 'b', 'b']  | target:  ['joint', 'joint', 'elab-enumember', 'bg-general', 'elab-addition', 'elab-addition', 'joint', 'bg-general', 'joint', 'bg-general', 'bg-general', 'bg-general', 'bg-goal', 'condition', 'bg-general', 'bg-general']
preds:  ['a', 'e', 'e', 'e', 'enablement', 'e', 'a', 'comparisons', 'joint', 'enabler', 'e', 'evaluation', 'a', 'enable', 'enablement', '-']  | target:  ['enablement', 'elab-addition', 'elab-addition', 'elab-addition', 'enablement', 'elab-addition', 'joint', 'comparison', 'joint', 'enablement', 'elab-addition', 'evaluation', 'evaluation', 'enablement', 'enablement', 'evaluation']
preds:  ['e', 'a', 'enablement', 'joint', 'joint ', 'e', 'e', 'e', 'comparing', 'e', 'enablement', 'e', 'e', 'e', 'enablement', 'e']  | target:  ['elab-addition', 'result', 'enablement', 'joint', 'joint', 'elab-process_step', 'elab-addition', 'elab-addition', 'comparison', 'elab-addition', 'enablement', 'elab-addition', 'elab-addition', 'elab-enumember', 'enablement', 'elab-addition']
preds:  ['e', 'enablement', 'e', 'e', 'enablement', 'b', 'temporal', 'exp-', 'e', 'b', '', 'enablement', 'e', 'e', 'e', 'e']  | target:  ['elab-addition', 'enablement', 'elab-addition', 'elab-addition', 'enablement', 'bg-general', 'temporal', 'exp-reason', 'elab-addition', 'bg-general', 'evaluation', 'enablement', 'elab-process_step', 'elab-addition', 'elab-process_step', 'elab-addition']
preds:  ['e', 'e', 'b', 'enablement', 'enablement', 'a', 'a', 'a', '-', 'a', 's', 'enablement', 'enablement', 'e', 'e', 'b']  | target:  ['elab-addition', 'elab-addition', 'bg-general', 'enablement', 'enablement', 'result', 'evaluation', 'summary', 'elab-addition', 'joint', 'joint', 'enablement', 'enablement', 'elab-process_step', 'elab-process_step', 'bg-general']
preds:  ['joint venture', 'joint ', 'e', 'joint joint', 'b', 'temporal', 'b', 'e', 'enablement', 'e', 'enablement', 'joint action', 'b', 'results in', 'joint', 'joint,']  | target:  ['joint', 'joint', 'elab-addition', 'joint', 'bg-goal', 'temporal', 'bg-general', 'elab-aspect', 'enablement', 'elab-addition', 'enablement', 'joint', 'bg-general', 'result', 'joint', 'joint']
preds:  ['b', 'a', 'e', 'e', 'e', 'e', 'attribution', 'b', 'enablement', 'b', 'joint', 'enablement', 'e', 'joints are', '', 'joint joint']  | target:  ['bg-general', 'attribution', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'attribution', 'bg-general', 'enablement', 'bg-compare', 'joint', 'enablement', 'enablement', 'joint', 'joint', 'joint']
preds:  ['e', 'joint', 'enablement', 'b', 'b', 'evaluation', 'b', 'e', 'b', 'joint and', 'e', 'e', 'is the', 'b', 'e', 'e']  | target:  ['elab-addition', 'joint', 'enablement', 'bg-general', 'bg-general', 'evaluation', 'bg-general', 'elab-addition', 'bg-general', 'joint', 'elab-addition', 'elab-addition', 'attribution', 'bg-general', 'elab-addition', 'elab-aspect']
preds:  ['evaluations', 'i', 'obst', '', 'joint joint', 'a', 'joints are', 'jointing', '-', 'attribution', 'e', 'Process Step', 'comparison of', 'joint', 'b', 'e']  | target:  ['evaluation', 'joint', 'enablement', 'attribution', 'joint', 'attribution', 'joint', 'joint', 'elab-addition', 'attribution', 'elab-addition', 'elab-process_step', 'comparison', 'joint', 'bg-general', 'elab-addition']
preds:  ['result in', 'e', 'e', 'and ', 'enablement', 'joints', 'conjointe', 'joint', 'evaluating', 'enablement', 'e', 'joint', 'e', 'Allowance', 'co-', 'jointe']  | target:  ['result', 'elab-aspect', 'elab-addition', 'joint', 'enablement', 'joint', 'joint', 'joint', 'evaluation', 'enablement', 'elab-process_step', 'joint', 'elab-addition', 'enablement', 'joint', 'joint']
preds:  ['e', 'evaluations', 'the joint', 'b', 'e', 'joint joint', 'a', 's', 'enablement', 'b', 'joint joint', 'e', 'joint ', '-', 'e', 'joint of']  | target:  ['elab-addition', 'evaluation', 'joint', 'bg-general', 'elab-addition', 'joint', 'enablement', 'joint', 'enablement', 'bg-general', 'joint', 'elab-addition', 'joint', 'attribution', 'elab-addition', 'joint']
preds:  ['e', 'e', '-', 'joints', 'e', 'enablement', 'in the', 'evaluation', 'progression is', 'temporal', 'is ', 'e', 'b', 'e', 'e', 'joint joint']  | target:  ['elab-addition', 'elab-addition', 'manner-means', 'joint', 'elab-process_step', 'enablement', 'joint', 'evaluation', 'progression', 'temporal', 'attribution', 'elab-addition', 'bg-general', 'elab-aspect', 'elab-addition', 'joint']
preds:  ['b', 'a', 'exp-', '-', 'joint ', 'e', 'comparisons', 'is the', 'e', 'e', 'evaluation', 'enablement', 'Joint Joint', 'e', 'enablement', 'b']  | target:  ['bg-general', 'enablement', 'exp-reason', 'manner-means', 'joint', 'elab-enumember', 'comparison', 'attribution', 'elab-addition', 'elab-addition', 'evaluation', 'enablement', 'joint', 'elab-addition', 'enablement', 'bg-general']
preds:  ['e', 'e', 'a', 'i', 'e', 'joint venture', 'joint joint', 'en', 'e', 'jointness', 'b', 'e', 'e', 'concord', 'e', 'b']  | target:  ['elab-addition', 'elab-addition', 'joint', 'contrast', 'elab-addition', 'joint', 'joint', 'enablement', 'elab-addition', 'joint', 'bg-general', 'elab-addition', 'elab-addition', 'joint', 'elab-addition', 'bg-goal']
preds:  ['e', 'e', 'e', 'evaluation', 'Joint', 'joint venture', 'e', 'b', 'e', 'e', 'Joint is', 'e', 'a', 'evaluation of', 'joint venture', 'manners']  | target:  ['elab-addition', 'elab-addition', 'elab-addition', 'evaluation', 'joint', 'joint', 'elab-addition', 'bg-general', 'elab-addition', 'elab-process_step', 'joint', 'evaluation', 'attribution', 'evaluation', 'joint', 'manner-means']
preds:  ['s', 'e', 'exp-', 'e', 'e', 'e', 'a', 'e', 'a', 'e', 'e', 'e', 'joint', 'e', 'enablement', 'e']  | target:  ['joint', 'elab-process_step', 'exp-reason', 'elab-process_step', 'elab-enumember', 'elab-addition', 'summary', 'elab-addition', 'result', 'elab-addition', 'elab-enumember', 'elab-addition', 'joint', 'elab-addition', 'enablement', 'evaluation']
preds:  ['co-', 'enablement', 'comparison of', 'a', 'e', 'enablement', 'enablement', 'e', 'g', 'b', 'joint is', 'comparison of', 'evaluations', 'joints', '-', 'e']  | target:  ['joint', 'enablement', 'comparison', 'attribution', 'elab-aspect', 'enablement', 'enablement', 'elab-addition', 'bg-general', 'bg-general', 'joint', 'comparison', 'evaluation', 'joint', 'joint', 'elab-addition']
preds:  ['b', 'e', 'e', 'e', 'comparison of', 'i', 'e', 'e', '-', 'together with', 'e', 'evaluation', 'a', 'e', 'e', 'joint']  | target:  ['bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'comparison', 'result', 'elab-addition', 'elab-addition', 'elab-addition', 'joint', 'elab-addition', 'evaluation', 'attribution', 'elab-addition', 'elab-addition', 'joint']
preds:  ['enablement', 'evaluations', 'joint joint', 'evaluation of', 'e', 'enablement', 'e', 'e', 'comparison of', 'e', 'e', 'Evaluation of', 'a', 'b', 'evaluations', 'joints']  | target:  ['enablement', 'evaluation', 'joint', 'evaluation', 'elab-addition', 'enablement', 'elab-addition', 'elab-addition', 'comparison', 'elab-addition', 'elab-addition', 'evaluation', 'attribution', 'bg-general', 'evaluation', 'joint']
preds:  ['b', 'e', 'a', 'a', 'e', 'co-', 'the ', 'attribution', 'joint', 'joint committee', 'en', 'e', 'e', '-', 'joint venture', 'a']  | target:  ['bg-goal', 'elab-addition', 'attribution', 'enablement', 'elab-addition', 'joint', 'contrast', 'attribution', 'joint', 'joint', 'enablement', 'elab-addition', 'elab-addition', 'manner-means', 'joint', 'attribution']
preds:  ['e', 'progression', 'a', 'e', 'b', 'b', 'Jointly', 'evaluating', 'b', 'e', 'a', 'e', 'e', 'e', 'evaluation of', 's']  | target:  ['elab-process_step', 'progression', 'joint', 'elab-addition', 'bg-goal', 'bg-general', 'joint', 'evaluation', 'bg-general', 'elab-addition', 'attribution', 'elab-addition', 'elab-addition', 'elab-addition', 'evaluation', 'joint']
preds:  ['i', 'a', 'e', 'manner-', 'e', 'b', 'ROOT', 'a', 'e', 'e', 'joint', 'enablement', 'joint ', 'b', 'exp-', 'e']  | target:  ['progression', 'result', 'elab-addition', 'manner-means', 'elab-addition', 'bg-general', 'ROOT', 'attribution', 'elab-addition', 'elab-addition', 'joint', 'enablement', 'joint', 'bg-general', 'exp-reason', 'elab-addition']
preds:  ['manner-', 'e', 'joint joint', 'joint ', 'b', 'Allowance', 'a', '-', 's', 'e', 'joint joint', 'e', 'e', 'e', 'e', 'joint ']  | target:  ['manner-means', 'elab-addition', 'joint', 'joint', 'bg-goal', 'enablement', 'joint', 'manner-means', 'joint', 'elab-addition', 'joint', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'joint']
preds:  ['e', 'enablement', 'e', 'e', 'e', 'cos', 'b', 'joint joint', 'temporal', 'enablement', 'e', 'enablement', 'e', 'enablement', 'e', 'e']  | target:  ['elab-addition', 'enablement', 'elab-addition', 'elab-addition', 'elab-addition', 'joint', 'bg-general', 'joint', 'temporal', 'enablement', 'elab-enumember', 'enablement', 'elab-addition', 'enablement', 'elab-addition', 'elab-addition']
preds:  ['enablement', 'e', 'joint', 'b', 'b', 'evaluation of', 'joint is', 'a', 'enablement', 'exp-', 'b', 'result ', 'joint joint', 'joint-', 'joint venture', 'b']  | target:  ['enablement', 'elab-process_step', 'joint', 'bg-general', 'bg-general', 'evaluation', 'joint', 'attribution', 'enablement', 'exp-reason', 'bg-general', 'result', 'joint', 'joint', 'joint', 'bg-general']
preds:  ['e', '', 'e', 'joint joint', 'e', 'e', 'e', 'e', 'e', 'enablement', 'e', 'e', 'gemeinsame', 'e', 's', 'enablement']  | target:  ['elab-addition', 'joint', 'elab-addition', 'joint', 'elab-enumember', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'enablement', 'elab-addition', 'elab-addition', 'joint', 'elab-addition', 'joint', 'enablement']
preds:  ['enablement', 'b', ',', 'e', 'evaluation of', 'a', 'is the', 'e', 'e', 'e', 'he', 'joint joint', 'joint joint', 'b', 'e', 'e']  | target:  ['enablement', 'bg-goal', 'contrast', 'elab-addition', 'evaluation', 'attribution', 'attribution', 'elab-addition', 'elab-addition', 'elab-addition', 'enablement', 'joint', 'joint', 'bg-general', 'elab-addition', 'elab-addition']
preds:  ['is ', 'e', 'enablement', 'e', '-', 'e', 'e', 'a', 'e', 'attribution', 'e', 'evaluation of', 'b', 'e', 'e', 'joint']  | target:  ['attribution', 'elab-addition', 'enablement', 'elab-addition', 'joint', 'elab-addition', 'elab-addition', 'manner-means', 'elab-aspect', 'attribution', 'elab-addition', 'evaluation', 'bg-general', 'elab-addition', 'elab-addition', 'joint']
preds:  ['e', 'e', '-', 'e', 'e', 'conjointe', 'b', 'enablement', 'e', 'to the', 'e', 'enablement', 'joint joint', '-', 'b', 'joint-']  | target:  ['elab-addition', 'elab-addition', 'bg-goal', 'elab-addition', 'elab-addition', 'joint', 'bg-general', 'enablement', 'elab-process_step', 'contrast', 'elab-addition', 'enablement', 'joint', 'joint', 'bg-general', 'joint']
preds:  ['enablement', 'contrast ', 'b', 'enablement', 'joint ', 'e', 'joints are', 'e', 'e', 'e', 'e', 'progression of', 'Bg', 'e', 'a', 'b']  | target:  ['enablement', 'contrast', 'bg-general', 'enablement', 'joint', 'elab-addition', 'joint', 'exp-evidence', 'elab-addition', 'elab-addition', 'elab-addition', 'progression', 'bg-general', 'elab-addition', 'attribution', 'bg-general']
preds:  ['e', 'b', 'e', 'e', 'is ', 'b', 'b', 'joint joint', 'e', 'g', ',', 'e', '', 'evaluations', 'b', 'enable the']  | target:  ['elab-addition', 'bg-general', 'elab-addition', 'elab-aspect', 'attribution', 'bg-general', 'bg-general', 'joint', 'elab-addition', 'bg-goal', 'joint', 'elab-addition', 'attribution', 'evaluation', 'bg-general', 'enablement']
preds:  ['joint ', 'b', 'e', 'e', 'joint ', 'joint ', 'e', 'parties', 'a', 'e', 'contrast', 'he', 'comparison ', '-', 'jointly', 'e']  | target:  ['joint', 'bg-general', 'elab-addition', 'elab-addition', 'joint', 'joint', 'elab-addition', 'joint', 'attribution', 'elab-addition', 'contrast', 'enablement', 'comparison', 'joint', 'joint', 'elab-addition']
preds:  ['is ', 'evaluation']  | target:  ['attribution', 'evaluation']
preds:  ['b', 'e', 'e', 'e', 'b', 'manner-', 'e', 'attribution', 'evaluation', 'e', 'enablement', 'manner-', 'e', 'manner-', 'e', 'enablement']  | target:  ['bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'bg-general', 'manner-means', 'elab-addition', 'attribution', 'evaluation', 'elab-addition', 'enablement', 'manner-means', 'elab-addition', 'manner-means', 'elab-addition', 'enablement']
preds:  ['e', 'e', 'e', 'joint ', 'evaluation', 'b', 'e', 'temporal', 'e', 'joint ', 'e', 'e', 'result:', 'b', 'e', 'e']  | target:  ['elab-aspect', 'elab-aspect', 'elab-addition', 'joint', 'evaluation', 'bg-general', 'elab-addition', 'temporal', 'elab-addition', 'joint', 'elab-addition', 'elab-addition', 'result', 'bg-goal', 'elab-addition', 'elab-addition']
preds:  ['enablement', 'e', 'progression of', 'b', 'enablement', 'e', 'joint ', 'e', 'enablement', 'attribution', 'evaluation', 'joint ', 'e', 'joint ', 'result:', 'b']  | target:  ['enablement', 'elab-addition', 'progression', 'bg-general', 'enablement', 'elab-addition', 'joint', 'elab-addition', 'enablement', 'attribution', 'evaluation', 'joint', 'elab-addition', 'joint', 'result', 'bg-general']
preds:  ['e', 'e', 'enablement', 'e', 'b', 'e', 'e', 'contrasts', 'result:', 'b', 'e', 'e', 'enablement', 'e', 'e', 'attribution']  | target:  ['elab-addition', 'elab-addition', 'enablement', 'elab-addition', 'bg-general', 'elab-addition', 'elab-addition', 'contrast', 'result', 'bg-general', 'elab-process_step', 'elab-process_step', 'enablement', 'elab-process_step', 'elab-addition', 'attribution']
preds:  ['evaluation', 'b', 'e', 'b', 'manner-', 'e', 'enablement', 'e', 'enablement', 'enablement', 'e', 'enablement', 'attribution', 'evaluation', 'b', 'joint ']  | target:  ['evaluation', 'bg-general', 'elab-addition', 'bg-general', 'manner-means', 'elab-process_step', 'enablement', 'elab-process_step', 'enablement', 'enablement', 'elab-process_step', 'enablement', 'attribution', 'evaluation', 'bg-general', 'joint']
preds:  ['e', 'e', 'b', 'b', 'e', 'joint ', 'joint ', 'joint ', 'joint ', 'e', 'b', 'e', 'e', 'e', 'e', 'e']  | target:  ['elab-addition', 'elab-addition', 'bg-general', 'bg-general', 'elab-addition', 'joint', 'joint', 'joint', 'joint', 'elab-addition', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition']
preds:  ['result:', 'joint ', 'joint ', 'b', 'e', 'enablement', 'manner-', 'e', 'e', 'e', 'enablement', 'attribution', 'evaluation', 'b', 'e', 'e']  | target:  ['result', 'joint', 'joint', 'bg-general', 'elab-addition', 'enablement', 'manner-means', 'elab-addition', 'elab-process_step', 'elab-process_step', 'enablement', 'attribution', 'evaluation', 'bg-general', 'elab-addition', 'elab-addition']
preds:  ['e', 'e', 'e', 'attribution', 'evaluation', 'e', 'attribution', 'evaluation', 'b', 'e', 'e', 'e', 'enablement', 'attribution', 'evaluation', 'result:']  | target:  ['elab-addition', 'elab-addition', 'elab-enumember', 'attribution', 'evaluation', 'elab-enumember', 'attribution', 'evaluation', 'bg-general', 'elab-enumember', 'elab-addition', 'elab-enumember', 'enablement', 'attribution', 'evaluation', 'result']
preds:  ['enablement', 'comparison of', 'e', 'e', 'joint ', 'attribution', 'evaluation', 'e', 'e', 'e', 'e', 'a', 'joint ', 'e', 'e', 'joint ']  | target:  ['enablement', 'comparison', 'elab-addition', 'elab-addition', 'joint', 'attribution', 'evaluation', 'elab-addition', 'elab-addition', 'elab-addition', 'elab-addition', 'cause', 'joint', 'elab-addition', 'elab-addition', 'joint']
preds:  ['e', 'enablement', 'e', 'e', 'joint ', 'e', 'enablement', 'e', 'e', 'enablement', 'b', 'e', 'e', 'e', 'b', 'b']  | target:  ['elab-addition', 'enablement', 'elab-aspect', 'elab-aspect', 'joint', 'elab-aspect', 'enablement', 'elab-addition', 'elab-aspect', 'enablement', 'bg-general', 'elab-addition', 'elab-addition', 'elab-addition', 'bg-general', 'bg-general']
