doc	unit1_toks	unit2_toks	unit1_txt	unit2_txt	perplexity_score	original_unit1_txt	original_unit2_txt	sentiment_score_1	sentiment_score_2	sentiment_graded_agreement	sentiment_agreement	s1_toks	s2_toks	unit1_sent	unit2_sent	dir	nuc_children	sat_children	genre	u1_discontinuous	u2_discontinuous	u1_issent	u2_issent	u1_length	u2_length	length_ratio	u1_speaker	u2_speaker	same_speaker	u1_func	u1_pos	u1_depdir	u2_func	u2_pos	u2_depdir	doclen	u1_position	u2_position	percent_distance	distance	lex_overlap_words	lex_overlap_length	unit1_case	unit2_case	label
maz-11670	123-127	128-142	Bombensplitter zerfetzen afghanische Kinder ,	die in ihren armseligen Hütten von einem New York noch nie etwas gehört haben .	210.02313995361328	Bombensplitter zerfetzen afghanische Kinder ,	die in ihren armseligen Hütten von einem New York noch nie etwas gehört haben .	neutral	neutral	StrongAgree	Agree	123-142	123-142	Bombensplitter zerfetzen afghanische Kinder , die in ihren armseligen Hütten von einem New York noch nie etwas gehört haben .	Bombensplitter zerfetzen afghanische Kinder , die in ihren armseligen Hütten von einem New York noch nie etwas gehört haben .	1<2	1	0	news	False	False	False	False	5	15	0.333	none	none	True	root	VVFIN	ROOT	acl	VVPP	LEFT	193	0.637	0.663	0.026	1	_	0	cap_initial	other	e-elaboration
maz-10205	87-99	100-106	Deshalb versucht er , die Tuchfühlung zu den Meinungsführern nicht zu verlieren .	Doch wo und wer sind sie ?	211.20708465576172	Deshalb versucht er , die Tuchfühlung zu den Meinungsführern nicht zu verlieren .	Doch wo und wer sind sie ?	neutral	neutral	StrongAgree	Agree	87-99	100-106	Deshalb versucht er , die Tuchfühlung zu den Meinungsführern nicht zu verlieren .	Doch wo und wer sind sie ?	1<2	5	0	news	False	False	True	True	13	7	1.857	none	none	True	root	VVFIN	ROOT	root	PWAV	ROOT	181	0.481	0.552	0.072	1	_	0	cap_initial	cap_initial	interpretation
maz-8509	82-91	98-106	Immer mehr verantwortungslose Zeitgenossen versuchen , ihren Müll illegal loszuwerden	Das wird letztlich alle teuer zu stehen kommen .	211.23403930664062	Immer mehr verantwortungslose Zeitgenossen versuchen , ihren Müll illegal loszuwerden	Das wird letztlich alle teuer zu stehen kommen .	neutral	neutral	StrongAgree	Agree	82-97	98-106	Immer mehr verantwortungslose Zeitgenossen versuchen , ihren Müll illegal loszuwerden statt ihn ordnungsgemäß zu entsorgen .	Das wird letztlich alle teuer zu stehen kommen .	1<2	2	0	news	False	False	False	True	10	9	1.111	none	none	True	root	VVFIN	ROOT	root	VVINF	ROOT	197	0.416	0.497	0.081	2	_	0	cap_initial	cap_initial	interpretation
maz-14172	110-133	134-151	Damit ist ein Sprecher derjenigen , die schon vor einem Jahr Petry aus dem Amt heben wollten , erneut in den Ring gestiegen .	Die Aussichten , dem gleichen Anliegen mehr Nachdruck zu verleihen , sind dabei deutlich besser als damals :	211.40931701660156	Damit ist ein Sprecher derjenigen , die schon vor einem Jahr Petry aus dem Amt heben wollten , erneut in den Ring gestiegen .	Die Aussichten , dem gleichen Anliegen mehr Nachdruck zu verleihen , sind dabei deutlich besser als damals :	neutral	neutral	StrongAgree	Agree	110-133	134-151	Damit ist ein Sprecher derjenigen , die schon vor einem Jahr Petry aus dem Amt heben wollten , erneut in den Ring gestiegen .	Die Aussichten , dem gleichen Anliegen mehr Nachdruck zu verleihen , sind dabei deutlich besser als damals :	1<2	2	1	news	False	False	True	True	24	18	1.333	none	none	True	root	VVPP	ROOT	root	ADJD	ROOT	198	0.556	0.677	0.121	1	_	0	cap_initial	cap_initial	joint
maz-00001	4-10	18-32	Dagmar Ziegler sitzt in der Schuldenfalle .	hat sie jetzt eine seit mehr als einem Jahr erarbeitete Kabinettsvorlage überraschend auf Eis gelegt	211.7127914428711	Dagmar Ziegler sitzt in der Schuldenfalle .	hat sie jetzt eine seit mehr als einem Jahr erarbeitete Kabinettsvorlage überraschend auf Eis gelegt	neutral	neutral	StrongAgree	Agree	4-10	11-41	Dagmar Ziegler sitzt in der Schuldenfalle .	Auf Grund der dramatischen Kassenlage in Brandenburg hat sie jetzt eine seit mehr als einem Jahr erarbeitete Kabinettsvorlage überraschend auf Eis gelegt und vorgeschlagen , erst 2003 darüber zu entscheiden .	1>2	4	0	news	False	False	True	False	7	15	0.467	none	none	True	root	VVFIN	ROOT	root	VVPP	ROOT	196	0.02	0.092	0.071	2	_	0	cap_initial	other	interpretation
maz-12576	2-16	76-107	Bisher war die geplante Abwahl der Kyritzer Bürgermeisterin Bärbel Stewin eine relativ klare Sache .	Nun erheben sich erste Stimmen , die fordern , man möge doch bitteschön mal klar sagen , weshalb man Frau Stewin für nicht mehr tragbar hält , die Stadt zu verwalten .	211.74065399169922	Bisher war die geplante Abwahl der Kyritzer Bürgermeisterin Bärbel Stewin eine relativ klare Sache .	Nun erheben sich erste Stimmen , die fordern , man möge doch bitteschön mal klar sagen , weshalb man Frau Stewin für nicht mehr tragbar hält , die Stadt zu verwalten .	neutral	neutral	StrongAgree	Agree	2-16	76-107	Bisher war die geplante Abwahl der Kyritzer Bürgermeisterin Bärbel Stewin eine relativ klare Sache .	Nun erheben sich erste Stimmen , die fordern , man möge doch bitteschön mal klar sagen , weshalb man Frau Stewin für nicht mehr tragbar hält , die Stadt zu verwalten .	1<2	2	2	news	False	False	True	True	15	32	0.469	none	none	True	root	NN	ROOT	root	VVFIN	ROOT	190	0.011	0.4	0.389	10	Stewin	1	cap_initial	cap_initial	contrast
maz-13758	94-102	132-147	Wer auf das Ja-Wort aus Brieselang warten kann ,	dem kann bescheinigt werden , dass ihm sein Dorf und dessen Erscheinungsbild am Herzen liegt .	211.76038360595703	Wer auf das Ja-Wort aus Brieselang warten kann ,	dem kann bescheinigt werden , dass ihm sein Dorf und dessen Erscheinungsbild am Herzen liegt .	neutral	neutral	StrongAgree	Agree	94-147	94-147	Wer auf das Ja-Wort aus Brieselang warten kann , keine Scheu vor seitenlangen Fragebögen hat und in Kauf nimmt , dass er wahrscheinlich nicht billiger wegkommt , als wenn er nach eigenen Vorstellungen die Fassade gestrichen hätte - dem kann bescheinigt werden , dass ihm sein Dorf und dessen Erscheinungsbild am Herzen liegt .	Wer auf das Ja-Wort aus Brieselang warten kann , keine Scheu vor seitenlangen Fragebögen hat und in Kauf nimmt , dass er wahrscheinlich nicht billiger wegkommt , als wenn er nach eigenen Vorstellungen die Fassade gestrichen hätte - dem kann bescheinigt werden , dass ihm sein Dorf und dessen Erscheinungsbild am Herzen liegt .	1>2	2	2	news	False	False	False	False	9	16	0.562	none	none	True	csubj:pass	VVINF	RIGHT	root	VVPP	ROOT	198	0.475	0.667	0.192	3	_	0	cap_initial	other	condition
maz-11735	67-77	157-169	Der unbeteiligte Beobachter fragt sich allerdings , warum erst jetzt ?	Die Staaten haben versprochen , im Zweifelsfall nicht mehr beide Augen zuzudrücken ,	211.8282241821289	Der unbeteiligte Beobachter fragt sich allerdings , warum erst jetzt ?	Die Staaten haben versprochen , im Zweifelsfall nicht mehr beide Augen zuzudrücken ,	neutral	neutral	StrongAgree	Agree	67-77	157-177	Der unbeteiligte Beobachter fragt sich allerdings , warum erst jetzt ?	Die Staaten haben versprochen , im Zweifelsfall nicht mehr beide Augen zuzudrücken , wenn es um Standortvorteile geht - hoffentlich .	1<2	3	3	news	False	False	True	False	11	13	0.846	none	none	True	root	VVFIN	ROOT	root	VVPP	ROOT	177	0.379	0.887	0.508	7	_	0	cap_initial	cap_initial	interpretation
maz-19372	54-63	119-125	Der Satz trifft auch auf die Wittstocker Region zu .	Der Streit muss endlich entschieden werden .	211.92535400390625	Der Satz trifft auch auf die Wittstocker Region zu .	Der Streit muss endlich entschieden werden .	neutral	neutral	StrongAgree	Agree	54-63	119-125	Der Satz trifft auch auf die Wittstocker Region zu .	Der Streit muss endlich entschieden werden .	1>2	5	1	news	False	False	True	True	10	7	1.429	none	none	True	root	VVFIN	ROOT	root	VVPP	ROOT	208	0.26	0.572	0.312	6	Der	1	cap_initial	cap_initial	background
maz-19436	155-162	163-169	das glauben wohl nur noch die Wenigsten -	geschweige denn ein Jurist wie Gysi .	212.08326721191406	das glauben wohl nur noch die Wenigsten -	geschweige denn ein Jurist wie Gysi .	neutral	neutral	StrongAgree	Agree	132-169	132-169	Denn dass der Flughafenausbau in der ursprünglich vom Bund und von den Ländern Berlin und Brandenburg geplanten Dimension noch zum Tragen kommt , das glauben wohl nur noch die Wenigsten - geschweige denn ein Jurist wie Gysi .	Denn dass der Flughafenausbau in der ursprünglich vom Bund und von den Ländern Berlin und Brandenburg geplanten Dimension noch zum Tragen kommt , das glauben wohl nur noch die Wenigsten - geschweige denn ein Jurist wie Gysi .	1<2	3	0	news	False	False	False	False	8	7	1.143	none	none	True	root	VVFIN	ROOT	xcomp	NN	LEFT	202	0.767	0.807	0.04	1	_	0	other	title	elaboration
maz-14853	17-41	42-55	Gleich am ersten Tag nach ihrem Wahlsieg kam - so als ob es so geplant gewesen wäre - der EU-Kommissar für Regionalpolitik aus Brüssel ,	um hier mit Vertretern der letzten drei deutschen Urban-Städte die Programm-Verträge zu unterzeichnen .	212.2141990661621	Gleich am ersten Tag nach ihrem Wahlsieg kam - so als ob es so geplant gewesen wäre - der EU-Kommissar für Regionalpolitik aus Brüssel ,	um hier mit Vertretern der letzten drei deutschen Urban-Städte die Programm-Verträge zu unterzeichnen .	neutral	neutral	StrongAgree	Agree	17-55	17-55	Gleich am ersten Tag nach ihrem Wahlsieg kam - so als ob es so geplant gewesen wäre - der EU-Kommissar für Regionalpolitik aus Brüssel , um hier mit Vertretern der letzten drei deutschen Urban-Städte die Programm-Verträge zu unterzeichnen .	Gleich am ersten Tag nach ihrem Wahlsieg kam - so als ob es so geplant gewesen wäre - der EU-Kommissar für Regionalpolitik aus Brüssel , um hier mit Vertretern der letzten drei deutschen Urban-Städte die Programm-Verträge zu unterzeichnen .	1<2	3	0	news	False	False	False	False	25	14	1.786	none	none	True	root	VVFIN	ROOT	advcl	VVINF	LEFT	189	0.09	0.222	0.132	1	_	0	cap_initial	other	purpose
maz-11280	96-106	107-124	rund die Hälfte der Abfälle gerät in den falschen Kreislauf .	Da ist es nur logisch , dass die Rethmänner jetzt so nach und nach das Sammelsystem umstellen .	212.2784194946289	rund die Hälfte der Abfälle gerät in den falschen Kreislauf .	Da ist es nur logisch , dass die Rethmänner jetzt so nach und nach das Sammelsystem umstellen .	neutral	neutral	StrongAgree	Agree	81-106	107-124	Egal , ob nun mutwillig oder aus Unwissenheit - ersteres ist moralisch sicherlich verwerflicher - rund die Hälfte der Abfälle gerät in den falschen Kreislauf .	Da ist es nur logisch , dass die Rethmänner jetzt so nach und nach das Sammelsystem umstellen .	1>2	3	3	news	False	False	False	True	11	18	0.611	none	none	True	parataxis	VVFIN	LEFT	root	ADJD	ROOT	197	0.487	0.543	0.056	1	_	0	other	cap_initial	reason
maz-9335	43-57	58-72	Denn zum einen sind es zumeist Frauen mit Kindern , die im Einzelhandel arbeiten .	Und die sind nun einmal nicht so mobil , wie es alleinstehende Arbeitnehmer sind .	212.28948974609375	Denn zum einen sind es zumeist Frauen mit Kindern , die im Einzelhandel arbeiten .	Und die sind nun einmal nicht so mobil , wie es alleinstehende Arbeitnehmer sind .	neutral	neutral	StrongAgree	Agree	43-57	58-72	Denn zum einen sind es zumeist Frauen mit Kindern , die im Einzelhandel arbeiten .	Und die sind nun einmal nicht so mobil , wie es alleinstehende Arbeitnehmer sind .	1<2	2	0	news	False	False	True	True	15	15	1.0	none	none	True	root	NN	ROOT	root	ADJD	ROOT	194	0.222	0.299	0.077	1	_	0	cap_initial	cap_initial	elaboration
maz-19074	16-33	76-83	könnte man sich darüber amüsieren , wie Ariel Scharon und Jassir Arafat versuchen , sich gegenseitig auszumanövrieren .	Und so schielen die Israelis nach Washington ,	212.35058403015137	könnte man sich darüber amüsieren , wie Ariel Scharon und Jassir Arafat versuchen , sich gegenseitig auszumanövrieren .	Und so schielen die Israelis nach Washington ,	negative	neutral	Agree	Disagree	4-33	76-109	Wäre der Konflikt im Nahen Osten nicht so tödlich und grausam , könnte man sich darüber amüsieren , wie Ariel Scharon und Jassir Arafat versuchen , sich gegenseitig auszumanövrieren .	Und so schielen die Israelis nach Washington , an dessen Tropf sie militärisch und wirtschaftlich hängen , die Palästinenser zur Europäischen Union und zu den arabischen Staaten , von deren Unterstützung sie abhängen .	1>2	6	2	news	False	False	False	False	18	8	2.25	none	none	True	root	VVINF	ROOT	root	VVFIN	ROOT	165	0.097	0.461	0.364	8	_	0	other	cap_initial	background
maz-18160	46-58	127-139	wenn sich jetzt die Junge Union in Werder scharf gegen seinen Kurs wendet	Dazu kommt , dass in Werder am 24. Februar ein Bürgermeister gewählt wird	212.70612716674805	wenn sich jetzt die Junge Union in Werder scharf gegen seinen Kurs wendet	Dazu kommt , dass in Werder am 24. Februar ein Bürgermeister gewählt wird	neutral	neutral	StrongAgree	Agree	37-82	127-153	Ein Alarmsignal für Schönbohm müsste es jedenfalls sein , wenn sich jetzt die Junge Union in Werder scharf gegen seinen Kurs wendet und ein CDU-Stadtverordneter gar mit seinem sofortigen Austritt aus der Christlich Demokratischen Union droht , weil für ihn demokratische Spielregeln eklatant verletzt wurden .	Dazu kommt , dass in Werder am 24. Februar ein Bürgermeister gewählt wird und es bisher als sicher galt , dass CDU-Amtsinhaber Werner Große unangefochten bleibt .	1<2	5	2	news	False	False	False	False	13	13	1.0	none	none	True	advcl	VVFIN	LEFT	root	VVFIN	ROOT	189	0.243	0.672	0.429	6	Werder	1	other	cap_initial	list
maz-11299	84-115	137-145	wenn sich drei Erwachsene - Karola Andrae ( Bürgerbündnis/FDP ) , Susanne Michler ( CDU ) und Joachim Zanow ( SPD ) - darüber streiten , was Jugendliche wollen und brauchen ,	Die Jugendlichen wurden somit zum bloßen Feigenblatt degradiert .	212.7672576904297	wenn sich drei Erwachsene - Karola Andrae ( Bürgerbündnis/FDP ) , Susanne Michler ( CDU ) und Joachim Zanow ( SPD ) - darüber streiten , was Jugendliche wollen und brauchen ,	Die Jugendlichen wurden somit zum bloßen Feigenblatt degradiert .	neutral	neutral	StrongAgree	Agree	78-127	137-145	Es entbehrt nicht der Komik , wenn sich drei Erwachsene - Karola Andrae ( Bürgerbündnis/FDP ) , Susanne Michler ( CDU ) und Joachim Zanow ( SPD ) - darüber streiten , was Jugendliche wollen und brauchen , ohne auf die Idee zu kommen , sie selbst zu fragen .	Die Jugendlichen wurden somit zum bloßen Feigenblatt degradiert .	1<2	5	0	news	False	False	False	True	32	9	3.556	none	none	True	advcl	VVFIN	LEFT	root	VVPP	ROOT	212	0.396	0.646	0.25	3	_	0	other	cap_initial	restatement
maz-15702	33-50	63-67	Die Haftanstalt in Spremberg hat am Dienstag einen Häftling freigelassen , der gar nicht zur Entlassung anstand .	Seither ist er verschwunden .	213.2765350341797	Die Haftanstalt in Spremberg hat am Dienstag einen Häftling freigelassen , der gar nicht zur Entlassung anstand .	Seither ist er verschwunden .	neutral	neutral	StrongAgree	Agree	33-50	63-67	Die Haftanstalt in Spremberg hat am Dienstag einen Häftling freigelassen , der gar nicht zur Entlassung anstand .	Seither ist er verschwunden .	1<2	4	0	news	False	False	True	True	18	5	3.6	none	none	True	root	VVPP	ROOT	root	VVPP	ROOT	172	0.192	0.366	0.174	2	_	0	cap_initial	cap_initial	sequence
maz-3080	83-100	101-113	Denn inzwischen hatte sich der wachsame Deutsche bekanntlich im Kopf sein eigenes Bild des islamistischen Kämpfers zurechtgelegt .	Und wehe dem , der diesem Bild auch nur im entferntesten ähnelte ...	213.58551025390625	Denn inzwischen hatte sich der wachsame Deutsche bekanntlich im Kopf sein eigenes Bild des islamistischen Kämpfers zurechtgelegt .	Und wehe dem , der diesem Bild auch nur im entferntesten ähnelte ...	neutral	neutral	StrongAgree	Agree	83-100	101-113	Denn inzwischen hatte sich der wachsame Deutsche bekanntlich im Kopf sein eigenes Bild des islamistischen Kämpfers zurechtgelegt .	Und wehe dem , der diesem Bild auch nur im entferntesten ähnelte ...	1<2	3	0	news	False	False	True	True	18	13	1.385	none	none	True	root	VVPP	ROOT	root	VVFIN	ROOT	191	0.435	0.529	0.094	1	Bild	1	cap_initial	cap_initial	conjunction
maz-11735	78-89	98-117	Jahrelang wurde die Ausrede kultiviert , schärfere Kontrollen schadeten einem Finanzstandort .	Erst nach dem 11. September hat man offenbar begriffen , dass nicht jede Geldanlage den Wohlstand der Nationen mehrt .	213.6726837158203	Jahrelang wurde die Ausrede kultiviert , schärfere Kontrollen schadeten einem Finanzstandort .	Erst nach dem 11. September hat man offenbar begriffen , dass nicht jede Geldanlage den Wohlstand der Nationen mehrt .	neutral	neutral	StrongAgree	Agree	78-89	98-117	Jahrelang wurde die Ausrede kultiviert , schärfere Kontrollen schadeten einem Finanzstandort .	Erst nach dem 11. September hat man offenbar begriffen , dass nicht jede Geldanlage den Wohlstand der Nationen mehrt .	1<2	2	1	news	False	False	True	True	12	20	0.6	none	none	True	root	VVPP	ROOT	root	VVPP	ROOT	177	0.441	0.554	0.113	2	_	0	cap_initial	cap_initial	contrast
maz-13915	99-111	112-116	Auch in der Verwaltung haben sich über Jahre Pfründe und Abhängigkeiten gebildet ,	die nicht einfach aufgegeben werden	214.12982559204102	Auch in der Verwaltung haben sich über Jahre Pfründe und Abhängigkeiten gebildet ,	die nicht einfach aufgegeben werden	neutral	neutral	StrongAgree	Agree	99-124	99-124	Auch in der Verwaltung haben sich über Jahre Pfründe und Abhängigkeiten gebildet , die nicht einfach aufgegeben werden und die einer Zentralisierung im Wege stehen .	Auch in der Verwaltung haben sich über Jahre Pfründe und Abhängigkeiten gebildet , die nicht einfach aufgegeben werden und die einer Zentralisierung im Wege stehen .	1<2	3	1	news	False	False	False	False	13	5	2.6	none	none	True	root	VVPP	ROOT	acl	VVPP	LEFT	196	0.505	0.571	0.066	1	_	0	cap_initial	other	e-elaboration
maz-13915	174-188	189-196	spräche dies für einen drastisch geschwundenen Einfluss in der Verwaltung und in der SVV ,	was die Stadt noch unregierbarer werden ließe .	214.18950653076172	spräche dies für einen drastisch geschwundenen Einfluss in der Verwaltung und in der SVV ,	was die Stadt noch unregierbarer werden ließe .	neutral	neutral	StrongAgree	Agree	164-196	164-196	Scheitert er nun auch mit dem zweifellos guten Liegenschaftskonzept , spräche dies für einen drastisch geschwundenen Einfluss in der Verwaltung und in der SVV , was die Stadt noch unregierbarer werden ließe .	Scheitert er nun auch mit dem zweifellos guten Liegenschaftskonzept , spräche dies für einen drastisch geschwundenen Einfluss in der Verwaltung und in der SVV , was die Stadt noch unregierbarer werden ließe .	1<2	2	0	news	False	False	False	False	15	8	1.875	none	none	True	root	VVFIN	ROOT	acl	VVFIN	LEFT	196	0.888	0.964	0.077	1	_	0	other	other	interpretation
maz-7969	83-101	138-152	Die mühselige Debatte um das ob und wie der Schloss-Rekonstruktion gehört zu den ärgerlichsten Episoden der Berliner Stadtentwicklungspolitik .	Mit ihrer Entscheidungsschwäche in Sachen Schloss hat sich die Berliner Stadtpolitik ein Armutszeugnis ausgestellt .	214.37103271484375	Die mühselige Debatte um das ob und wie der Schloss-Rekonstruktion gehört zu den ärgerlichsten Episoden der Berliner Stadtentwicklungspolitik .	Mit ihrer Entscheidungsschwäche in Sachen Schloss hat sich die Berliner Stadtpolitik ein Armutszeugnis ausgestellt .	neutral	neutral	StrongAgree	Agree	83-101	138-152	Die mühselige Debatte um das ob und wie der Schloss-Rekonstruktion gehört zu den ärgerlichsten Episoden der Berliner Stadtentwicklungspolitik .	Mit ihrer Entscheidungsschwäche in Sachen Schloss hat sich die Berliner Stadtpolitik ein Armutszeugnis ausgestellt .	1<2	5	0	news	False	False	True	True	19	15	1.267	none	none	True	root	VVFIN	ROOT	root	VVPP	ROOT	168	0.494	0.821	0.327	3	Berliner	1	cap_initial	cap_initial	restatement
maz-14047	65-81	82-92	Entweder das Paracelsus-Krankenhaus bildet einen regionalen Klinikverbund mit der Nauener Havellandklinik unter dem Dach einer kreiseigenen GmbH	oder das Rathenower Krankenhaus wird an einen Freien Träger abgegeben .	214.5698356628418	Entweder das Paracelsus-Krankenhaus bildet einen regionalen Klinikverbund mit der Nauener Havellandklinik unter dem Dach einer kreiseigenen GmbH	oder das Rathenower Krankenhaus wird an einen Freien Träger abgegeben .	neutral	neutral	StrongAgree	Agree	65-92	65-92	Entweder das Paracelsus-Krankenhaus bildet einen regionalen Klinikverbund mit der Nauener Havellandklinik unter dem Dach einer kreiseigenen GmbH oder das Rathenower Krankenhaus wird an einen Freien Träger abgegeben .	Entweder das Paracelsus-Krankenhaus bildet einen regionalen Klinikverbund mit der Nauener Havellandklinik unter dem Dach einer kreiseigenen GmbH oder das Rathenower Krankenhaus wird an einen Freien Träger abgegeben .	1<2	4	0	news	False	False	False	False	17	11	1.545	none	none	True	root	VVFIN	ROOT	conj	NN	LEFT	177	0.367	0.463	0.096	1	_	0	cap_initial	other	disjunction
maz-9782	42-54	113-133	wenn man als Beamter jemandem einen Konzertbesuch oder eine Geburtstagsfete vermasseln muss ,	Schade ist nur bei all diesen strengeren Regelungen , dass es wohl wieder mal zum großen Teil die Falschen trifft .	214.67792510986328	wenn man als Beamter jemandem einen Konzertbesuch oder eine Geburtstagsfete vermasseln muss ,	Schade ist nur bei all diesen strengeren Regelungen , dass es wohl wieder mal zum großen Teil die Falschen trifft .	neutral	negative	Agree	Disagree	34-63	113-133	Schön ist es ja nun wirklich nicht , wenn man als Beamter jemandem einen Konzertbesuch oder eine Geburtstagsfete vermasseln muss , weil die allgemeine Weltlage das gegenwärtig nicht zulässt .	Schade ist nur bei all diesen strengeren Regelungen , dass es wohl wieder mal zum großen Teil die Falschen trifft .	1<2	6	2	news	False	False	False	True	13	21	0.619	none	none	True	advcl	VVINF	LEFT	root	ADJD	ROOT	189	0.222	0.598	0.376	6	_	0	other	cap_initial	joint
maz-10423	3-17	97-120	Die von den Elstalern lange herbei gesehnte Umgehungsstraße für den historischen Ortskern ist fertig .	aber für die Elstaler heißt das , sie müssen vorerst weiterhin damit leben , dass Autos durch ihre unter Denkmalschutz stehende Ortsmitte brausen .	214.91549682617188	Die von den Elstalern lange herbei gesehnte Umgehungsstraße für den historischen Ortskern ist fertig .	aber für die Elstaler heißt das , sie müssen vorerst weiterhin damit leben , dass Autos durch ihre unter Denkmalschutz stehende Ortsmitte brausen .	neutral	neutral	StrongAgree	Agree	3-17	92-120	Die von den Elstalern lange herbei gesehnte Umgehungsstraße für den historischen Ortskern ist fertig .	Schön für die Freizeitsportler , aber für die Elstaler heißt das , sie müssen vorerst weiterhin damit leben , dass Autos durch ihre unter Denkmalschutz stehende Ortsmitte brausen .	1>2	6	1	news	False	False	True	False	15	24	0.625	none	none	True	root	ADJD	ROOT	conj	VVFIN	LEFT	189	0.016	0.513	0.497	9	_	0	cap_initial	other	antithesis
maz-15970	88-102	112-128	hat der ehemalige Torjäger mit der WM-Qualifikation seines Teams für Fernost enorm an Profil gewonnen	Der grauhaarige Hanauer hat sich zum Mann der Nähe , der Integration , der Kontinuität entwickelt .	215.0515899658203	hat der ehemalige Torjäger mit der WM-Qualifikation seines Teams für Fernost enorm an Profil gewonnen	Der grauhaarige Hanauer hat sich zum Mann der Nähe , der Integration , der Kontinuität entwickelt .	neutral	neutral	StrongAgree	Agree	83-111	112-128	Obschon längst kein Taktik-Guru , hat der ehemalige Torjäger mit der WM-Qualifikation seines Teams für Fernost enorm an Profil gewonnen und das Image des unverbindlichen " Ich-versuch's-einfach-mal"-Typen verloren .	Der grauhaarige Hanauer hat sich zum Mann der Nähe , der Integration , der Kontinuität entwickelt .	1<2	6	0	news	False	False	False	True	15	17	0.882	none	none	True	root	VVPP	ROOT	root	VVPP	ROOT	168	0.524	0.667	0.143	2	_	0	other	cap_initial	list
maz-11280	134-162	163-170	Unverständlich ist deshalb die mit 37 Prozent doch recht hohe Anzahl der Bürger vom Görden , sich dem neuen System - gelbe Säcke und Papiertonnen - zu versagen .	Sie sollten ihre Entscheidung noch einmal überdenken ,	215.44458770751953	Unverständlich ist deshalb die mit 37 Prozent doch recht hohe Anzahl der Bürger vom Görden , sich dem neuen System - gelbe Säcke und Papiertonnen - zu versagen .	Sie sollten ihre Entscheidung noch einmal überdenken ,	neutral	neutral	StrongAgree	Agree	134-162	163-197	Unverständlich ist deshalb die mit 37 Prozent doch recht hohe Anzahl der Bürger vom Görden , sich dem neuen System - gelbe Säcke und Papiertonnen - zu versagen .	Sie sollten ihre Entscheidung noch einmal überdenken , denn neben dem Effekt , dass die Schmuddelecken verschwinden , ist der Weg mit dem gelben Sack vor die Haustür kürzer als die Fahrt zum Container .	1>2	2	0	news	False	False	True	False	29	8	3.625	none	none	True	root	ADJD	ROOT	root	VVINF	ROOT	197	0.68	0.827	0.147	1	_	0	cap_initial	cap_initial	reason
maz-19501	117-128	157-177	Denn der Bund ging bereits mit 50 Millionen Mark in Vorleistung ,	Der Klärung bedarf außerdem , wie das Problem des Schallschutzes für betroffene Anwohner in Kleinmachnow und Berlin gelöst werden soll .	215.50580596923828	Denn der Bund ging bereits mit 50 Millionen Mark in Vorleistung ,	Der Klärung bedarf außerdem , wie das Problem des Schallschutzes für betroffene Anwohner in Kleinmachnow und Berlin gelöst werden soll .	neutral	neutral	StrongAgree	Agree	117-140	157-177	Denn der Bund ging bereits mit 50 Millionen Mark in Vorleistung , um die Einführung der Gleise in den Berliner Tiergartentunnel zu gewährleisten .	Der Klärung bedarf außerdem , wie das Problem des Schallschutzes für betroffene Anwohner in Kleinmachnow und Berlin gelöst werden soll .	1<2	3	0	news	False	False	False	True	12	21	0.571	none	none	True	root	VVFIN	ROOT	root	VVFIN	ROOT	187	0.626	0.84	0.214	4	_	0	cap_initial	cap_initial	list
maz-2609	113-128	129-141	Und kaum eine Region Deutschlands hat ein derart dichtes Netz von kooperierenden Wissenschaftseinrichtungen zu bieten -	der Erfolg des interdisziplinären Helmholtz-Instituts für die Schulung an Supercomputern spricht Bände .	215.96335220336914	Und kaum eine Region Deutschlands hat ein derart dichtes Netz von kooperierenden Wissenschaftseinrichtungen zu bieten -	der Erfolg des interdisziplinären Helmholtz-Instituts für die Schulung an Supercomputern spricht Bände .	neutral	neutral	StrongAgree	Agree	113-141	113-141	Und kaum eine Region Deutschlands hat ein derart dichtes Netz von kooperierenden Wissenschaftseinrichtungen zu bieten - der Erfolg des interdisziplinären Helmholtz-Instituts für die Schulung an Supercomputern spricht Bände .	Und kaum eine Region Deutschlands hat ein derart dichtes Netz von kooperierenden Wissenschaftseinrichtungen zu bieten - der Erfolg des interdisziplinären Helmholtz-Instituts für die Schulung an Supercomputern spricht Bände .	1<2	1	0	news	False	False	False	False	16	13	1.231	none	none	True	root	VVINF	ROOT	parataxis	VVFIN	LEFT	173	0.653	0.746	0.092	1	_	0	cap_initial	other	evidence
maz-10503	154-162	163-169	Gefragt , was er gegen den Ausschuss habe ,	stellte er sich bockig und schwieg .	216.0156707763672	Gefragt , was er gegen den Ausschuss habe ,	stellte er sich bockig und schwieg .	neutral	neutral	StrongAgree	Agree	154-169	154-169	Gefragt , was er gegen den Ausschuss habe , stellte er sich bockig und schwieg .	Gefragt , was er gegen den Ausschuss habe , stellte er sich bockig und schwieg .	1>2	1	0	news	False	False	False	False	9	7	1.286	none	none	True	acl	VVPP	RIGHT	root	VVFIN	ROOT	197	0.782	0.827	0.046	1	_	0	title	other	circumstance
